# Freiberger Mulde CS3 bathymetry D(x), digitized from Bahmanpouri et al. (2022) Fig. 7(a)
# [Water Resources Research 58, e2021WR031821, doi:10.1029/2021WR031821]
# method: programmatic color-boundary extraction from the 200-dpi page render
#         (script: data/digitize_figures.py) 2026-07-06
# checksum: integrated area 9.26 m^2 (no printed value for CS3; FM CS1 prints
#           9.85 m^2); wet width 15.7 m; max depth 0.81 m.
# columns: x_m, depth_m
x_m,depth_m
0.107,0.027
0.147,0.031
0.187,0.085
0.227,0.089
0.267,0.116
0.307,0.147
0.347,0.174
0.387,0.174
0.427,0.229
0.467,0.232
0.508,0.259
0.548,0.290
0.588,0.317
0.628,0.317
0.668,0.372
0.708,0.375
0.748,0.406
0.788,0.433
0.828,0.461
0.868,0.491
0.908,0.519
0.948,0.519
0.988,0.549
1.028,0.577
1.069,0.604
1.109,0.604
1.149,0.604
1.189,0.604
1.229,0.608
1.269,0.604
1.309,0.608
1.349,0.635
1.389,0.635
1.429,0.635
1.469,0.635
1.509,0.635
1.549,0.635
1.589,0.635
1.630,0.662
1.670,0.662
1.710,0.662
1.750,0.662
1.790,0.662
1.830,0.662
1.870,0.693
1.910,0.693
1.950,0.693
1.990,0.693
2.030,0.693
2.070,0.693
2.110,0.693
2.150,0.720
2.191,0.720
2.231,0.720
2.271,0.720
2.311,0.720
2.351,0.747
2.391,0.747
2.431,0.747
2.471,0.747
2.511,0.747
2.551,0.751
2.591,0.778
2.631,0.778
2.671,0.778
2.711,0.778
2.752,0.778
2.792,0.778
2.832,0.809
2.872,0.809
2.912,0.809
2.952,0.809
2.992,0.809
3.032,0.809
3.072,0.809
3.112,0.809
3.152,0.809
3.192,0.809
3.232,0.809
3.272,0.809
3.313,0.809
3.353,0.809
3.393,0.782
3.433,0.778
3.473,0.778
3.513,0.778
3.553,0.778
3.593,0.778
3.633,0.778
3.673,0.771
3.713,0.747
3.753,0.747
3.793,0.747
3.833,0.747
3.874,0.747
3.914,0.747
3.954,0.747
3.994,0.724
4.034,0.720
4.074,0.720
4.114,0.720
4.154,0.720
4.194,0.720
4.234,0.720
4.274,0.747
4.314,0.747
4.354,0.747
4.394,0.747
4.435,0.747
4.475,0.747
4.515,0.747
4.555,0.747
4.595,0.747
4.635,0.747
4.675,0.747
4.715,0.747
4.755,0.747
4.795,0.747
4.835,0.778
4.875,0.778
