# Schumm (1967) "Meander Wavelength of Alluvial Rivers", Science 157, 1549-1550 -- the 36
# stable-channel cross sections behind Eqs. (1)-(2).  The Science report prints no table;
# per its refs (5) and (7) the data are published in:
#   rows 1-33 : Schumm (1968) USGS Professional Paper 598, Table 6 "Data for rivers of
#               Midwestern United States" (p. 45; PDF p. 51 of pubs.usgs.gov scan).
#   rows 34-36: Schumm (1968) USGS Professional Paper 598, Table 1 "Data from Murrumbidgee
#               River cross sections" (sections 2, 4, 5 -- the three with measured meander
#               wavelength, matching "three sets of data ... Murrumbidgee" in Schumm 1967).
# method: manual transcription 2026-07-06 from the rendered page image cross-checked against
#         the embedded OCR text layer (pdftotext -layout); the scan is public domain (USGS).
#         Single-digit OCR ambiguities were resolved toward the -layout text; global health
#         is validated by recomputing Schumm's own regressions (r=.95/.93) in the self-test.
# units: width ft, depth ft, M percent silt-clay (<0.074 mm) in channel perimeter,
#        discharges cfs, wavelength ft, slopes ft/ft, sinuosity dimensionless.
# notes: Qb (bankfull) is blank for 5 US rows exactly as printed (PP598: "bankfull discharge
#        of 28 was calculated").  Murrumbidgee Qm is the diversion-adjusted value where PP598
#        gives one (Narrandera 4081, Darlington Point 3762; raw 3661/3050), per PP598 fig. 31
#        ("after adjustment for upstream diversions"); Wagga Wagga prints no adjusted value
#        (4560).  Murrumbidgee gradients printed in ft/mile were converted to ft/ft (/5280).
# columns:
id,river,width_ft,depth_ft,wd_ratio,M_pct,Qm_cfs,Qb_cfs,Qma_cfs,lambda_ft,valley_slope,channel_gradient,sinuosity,source
1,"Norwood Creek near Tensleep WY",59,5.0,12,16.0,100,550,1540,500,0.00095,0.00045,2.1,PP598-T6
2,"Tongue River near Miles City MT",198,5.0,40,3.7,357,2040,4400,3400,0.0032,0.0019,1.7,PP598-T6
3,"Middle Fork Powder River near Kaycee WY",37,4.0,9,14.8,60,308,1450,1000,0.0032,0.0016,2.1,PP598-T6
4,"Powder River near Locate MT",325,6.1,53,2.5,592,4800,11000,6000,0.0013,0.0011,1.2,PP598-T6
5,"Little Missouri River near Alzada MT",46,5.7,8,44.6,82,800,2750,650,0.0022,0.0009,2.5,PP598-T6
6,"Lance Creek near Spencer WY",105,4.9,21,8.0,24,1680,2700,1300,0.0023,0.0012,1.9,PP598-T6
7,"Cheyenne River near Spencer WY",258,4.0,65,4.5,48,2170,3200,2600,0.0018,0.0014,1.3,PP598-T6
8,"Cheyenne River at Edgemont SD",280,3.8,75,3.8,102,3000,4300,5800,0.0017,0.0014,1.2,PP598-T6
9,"White River near Whitney NE",27,5.7,5,38.8,21,250,900,600,0.0029,0.0012,2.4,PP598-T6
10,"South Fork White River at White River NE",98,2.5,39,3.8,136,910,2300,4500,0.0024,0.0020,1.1,PP598-T6
11,"Niobrara River near Hay Springs NE",66,2.4,28,1.3,28,540,1100,5800,0.0019,0.0018,1.1,PP598-T6
12,"South Loup River at St. Michael NE",123,4.0,31,6.7,250,985,4300,5500,0.0012,0.0009,1.4,PP598-T6
13,"North Loup River at Taylor NE",153,2.9,53,2.8,454,1200,1500,5300,0.0014,0.0013,1.1,PP598-T6
